Starting epsilon decay: 0.991818
🔥 New best solution! Steps: 156. Decay decreased to 0.990752
Episode 115 | Reward: 98.1 | Steps: 20 | Epsilon: 0.027 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 116 | Reward: 98.5 | Steps: 16 | Epsilon: 0.027 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 117 | Reward: 97.3 | Steps: 19 | Epsilon: 0.026 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 118 | Reward: 98.5 | Steps: 16 | Epsilon: 0.025 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 119 | Reward: 98.5 | Steps: 16 | Epsilon: 0.025 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 120 | Reward: 98.5 | Steps: 16 | Epsilon: 0.024 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 121 | Reward: 98.5 | Steps: 16 | Epsilon: 0.024 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 122 | Reward: 97.5 | Steps: 17 | Epsilon: 0.023 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 123 | Reward: 98.5 | Steps: 16 | Epsilon: 0.023 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 124 | Reward: 98.5 | Steps: 16 | Epsilon: 0.022 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 125 | Reward: 98.5 | Steps: 16 | Epsilon: 0.022 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 126 | Reward: 98.5 | Steps: 16 | Epsilon: 0.021 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 127 | Reward: 98.3 | Steps: 18 | Epsilon: 0.021 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 128 | Reward: 98.5 | Steps: 16 | Epsilon: 0.020 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 129 | Reward: 98.3 | Steps: 18 | Epsilon: 0.020 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 130 | Reward: 98.5 | Steps: 16 | Epsilon: 0.019 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 131 | Reward: 97.5 | Steps: 17 | Epsilon: 0.019 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 132 | Reward: 97.5 | Steps: 17 | Epsilon: 0.018 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 133 | Reward: 96.5 | Steps: 18 | Epsilon: 0.018 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 134 | Reward: 98.5 | Steps: 16 | Epsilon: 0.017 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 135 | Reward: 98.5 | Steps: 16 | Epsilon: 0.017 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 136 | Reward: 98.5 | Steps: 16 | Epsilon: 0.017 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 137 | Reward: 97.5 | Steps: 17 | Epsilon: 0.016 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 138 | Reward: 98.5 | Steps: 16 | Epsilon: 0.016 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 139 | Reward: 98.5 | Steps: 16 | Epsilon: 0.016 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 140 | Reward: 97.3 | Steps: 19 | Epsilon: 0.015 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 141 | Reward: 98.5 | Steps: 16 | Epsilon: 0.015 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 142 | Reward: 98.5 | Steps: 16 | Epsilon: 0.014 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 143 | Reward: 98.5 | Steps: 16 | Epsilon: 0.014 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 144 | Reward: 98.5 | Steps: 16 | Epsilon: 0.014 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
