Starting epsilon decay: 0.997755
🔥 New best solution! Steps: 3113. Decay decreased to 0.997461
Episode 106 | Reward: 44.59999999999977 | Steps: 294 | Epsilon: 0.186 | Result: WIN | Decay: 0.993929 | Time: 0.0007s
Episode 107 | Reward: 46.39999999999973 | Steps: 312 | Epsilon: 0.185 | Result: WIN | Decay: 0.993929 | Time: 0.0008s
Episode 108 | Reward: -93.99999999999673 | Steps: 996 | Epsilon: 0.184 | Result: WIN | Decay: 0.993929 | Time: 0.0025s
Episode 109 | Reward: 61.99999999999987 | Steps: 219 | Epsilon: 0.183 | Result: WIN | Decay: 0.993929 | Time: 0.0007s
Episode 110 | Reward: 72.99999999999994 | Steps: 154 | Epsilon: 0.182 | Result: WIN | Decay: 0.993929 | Time: 0.0005s
Episode 111 | Reward: 71.19999999999993 | Steps: 172 | Epsilon: 0.181 | Result: WIN | Decay: 0.993929 | Time: 0.0004s
Episode 112 | Reward: 54.19999999999978 | Steps: 279 | Epsilon: 0.179 | Result: WIN | Decay: 0.993929 | Time: 0.0007s
Episode 113 | Reward: 56.399999999999785 | Steps: 275 | Epsilon: 0.178 | Result: WIN | Decay: 0.993929 | Time: 0.0007s
Episode 114 | Reward: 53.7999999999998 | Steps: 292 | Epsilon: 0.177 | Result: WIN | Decay: 0.993929 | Time: 0.0007s
Episode 115 | Reward: 69.99999999999991 | Steps: 157 | Epsilon: 0.176 | Result: WIN | Decay: 0.993929 | Time: 0.0004s
Episode 116 | Reward: 41.599999999999625 | Steps: 360 | Epsilon: 0.175 | Result: WIN | Decay: 0.993929 | Time: 0.0009s
Episode 117 | Reward: 62.399999999999885 | Steps: 224 | Epsilon: 0.174 | Result: WIN | Decay: 0.993929 | Time: 0.0006s
Episode 118 | Reward: 31.799999999999812 | Steps: 440 | Epsilon: 0.173 | Result: WIN | Decay: 0.993929 | Time: 0.0013s
Episode 119 | Reward: 70.19999999999993 | Steps: 164 | Epsilon: 0.172 | Result: WIN | Decay: 0.993929 | Time: 0.0005s
Episode 120 | Reward: 55.39999999999979 | Steps: 267 | Epsilon: 0.171 | Result: WIN | Decay: 0.993929 | Time: 0.0007s
Episode 121 | Reward: 74.19999999999993 | Steps: 151 | Epsilon: 0.170 | Result: WIN | Decay: 0.993929 | Time: 0.0004s
Episode 122 | Reward: 61.19999999999985 | Steps: 236 | Epsilon: 0.169 | Result: WIN | Decay: 0.993929 | Time: 0.0006s
🔥 New best solution! Steps: 139. Decay decreased to 0.993634
Episode 123 | Reward: 75.39999999999998 | Steps: 139 | Epsilon: 0.168 | Result: WIN | Decay: 0.993634 | Time: 0.0003s
Episode 124 | Reward: -5.799999999999301 | Steps: 618 | Epsilon: 0.167 | Result: WIN | Decay: 0.993634 | Time: 0.0015s
