Episode 159 | Reward: 97.40 | Steps: 22 | Epsilon: 0.14 | Result: WIN | Time: 0.00005s
Episode 160 | Reward: 98.10 | Steps: 18 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 161 | Reward: 96.10 | Steps: 20 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 162 | Reward: 98.50 | Steps: 16 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 163 | Reward: 98.50 | Steps: 16 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 164 | Reward: 97.10 | Steps: 19 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 165 | Reward: 97.50 | Steps: 17 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 166 | Reward: 97.70 | Steps: 20 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 167 | Reward: 98.50 | Steps: 16 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 168 | Reward: 96.90 | Steps: 21 | Epsilon: 0.13 | Result: WIN | Time: 0.00005s
Episode 169 | Reward: 94.40 | Steps: 25 | Epsilon: 0.13 | Result: WIN | Time: 0.00005s
Episode 170 | Reward: 96.10 | Steps: 20 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 171 | Reward: 97.50 | Steps: 17 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 172 | Reward: 96.70 | Steps: 21 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 173 | Reward: 95.80 | Steps: 22 | Epsilon: 0.13 | Result: WIN | Time: 0.00005s
Episode 174 | Reward: 97.10 | Steps: 19 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 175 | Reward: 96.50 | Steps: 18 | Epsilon: 0.13 | Result: WIN | Time: 0.00004s
Episode 176 | Reward: 96.10 | Steps: 20 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 177 | Reward: 96.90 | Steps: 24 | Epsilon: 0.12 | Result: WIN | Time: 0.00005s
Episode 178 | Reward: 97.50 | Steps: 17 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 179 | Reward: 97.50 | Steps: 17 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 180 | Reward: 95.50 | Steps: 19 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 181 | Reward: 97.50 | Steps: 17 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 182 | Reward: 97.10 | Steps: 19 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 183 | Reward: 96.50 | Steps: 18 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 184 | Reward: 97.10 | Steps: 19 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 185 | Reward: 97.10 | Steps: 19 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 186 | Reward: 97.50 | Steps: 17 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 187 | Reward: 97.50 | Steps: 17 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 188 | Reward: 98.20 | Steps: 18 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 189 | Reward: 98.10 | Steps: 18 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 190 | Reward: 98.50 | Steps: 16 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 191 | Reward: 96.80 | Steps: 21 | Epsilon: 0.12 | Result: WIN | Time: 0.00005s
Episode 192 | Reward: 97.50 | Steps: 17 | Epsilon: 0.12 | Result: WIN | Time: 0.00004s
Episode 193 | Reward: 98.10 | Steps: 18 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 194 | Reward: 95.80 | Steps: 22 | Epsilon: 0.11 | Result: WIN | Time: 0.00005s
Episode 195 | Reward: 96.90 | Steps: 21 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 196 | Reward: 97.10 | Steps: 19 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 197 | Reward: 95.80 | Steps: 22 | Epsilon: 0.11 | Result: WIN | Time: 0.00005s
Episode 198 | Reward: 98.50 | Steps: 16 | Epsilon: 0.11 | Result: WIN | Time: 0.00003s
Episode 199 | Reward: 98.20 | Steps: 18 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 200 | Reward: 98.50 | Steps: 16 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 201 | Reward: 97.50 | Steps: 17 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 202 | Reward: 97.50 | Steps: 17 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 203 | Reward: 98.20 | Steps: 18 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 204 | Reward: 97.50 | Steps: 17 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 205 | Reward: 98.50 | Steps: 16 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 206 | Reward: 97.90 | Steps: 20 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 207 | Reward: 98.50 | Steps: 16 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 208 | Reward: 98.50 | Steps: 16 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 209 | Reward: 96.10 | Steps: 20 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 210 | Reward: 98.50 | Steps: 16 | Epsilon: 0.11 | Result: WIN | Time: 0.00004s
Episode 211 | Reward: 98.10 | Steps: 18 | Epsilon: 0.10 | Result: WIN | Time: 0.00004s
Episode 212 | Reward: 98.20 | Steps: 18 | Epsilon: 0.10 | Result: WIN | Time: 0.00004s
Episode 213 | Reward: 95.50 | Steps: 19 | Epsilon: 0.10 | Result: WIN | Time: 0.00004s
Episode 214 | Reward: 97.50 | Steps: 17 | Epsilon: 0.10 | Result: WIN | Time: 0.00004s
Episode 215 | Reward: 96.50 | Steps: 18 | Epsilon: 0.10 | Result: WIN | Time: 0.00004s
Episode 216 | Reward: 98.50 | Steps: 16 | Epsilon: 0.10 | Result: WIN | Time: 0.00003s
Episode 217 | Reward: 98.50 | Steps: 16 | Epsilon: 0.10 | Result: WIN | Time: 0.00004s
Episode 218 | Reward: 97.50 | Steps: 17 | Epsilon: 0.10 | Result: WIN | Time: 0.00004s
Episode 219 | Reward: 98.50 | Steps: 16 | Epsilon: 0.10 | Result: WIN | Time: 0.00004s
Episode 220 | Reward: 98.10 | Steps: 18 | Epsilon: 0.10 | Result: WIN | Time: 0.00005s
Episode 221 | Reward: 95.50 | Steps: 19 | Epsilon: 0.10 | Result: WIN | Time: 0.00005s
Episode 222 | Reward: 98.10 | Steps: 18 | Epsilon: 0.10 | Result: WIN | Time: 0.00004s
Episode 223 | Reward: 98.50 | Steps: 16 | Epsilon: 0.10 | Result: WIN | Time: 0.00004s
