Starting epsilon decay: 0.997755
🔥 New best solution! Steps: 1787. Decay decreased to 0.997461
Episode 113 | Reward: 86.10000000000002 | Steps: 68 | Epsilon: 0.182 | Result: WIN | Decay: 0.994223 | Time: 0.0002s
Episode 114 | Reward: 71.89999999999992 | Steps: 174 | Epsilon: 0.181 | Result: WIN | Decay: 0.994223 | Time: 0.0004s
Episode 115 | Reward: 67.0999999999999 | Steps: 177 | Epsilon: 0.179 | Result: WIN | Decay: 0.994223 | Time: 0.0004s
Episode 116 | Reward: 86.90000000000002 | Steps: 78 | Epsilon: 0.178 | Result: WIN | Decay: 0.994223 | Time: 0.0002s
Episode 117 | Reward: 86.10000000000002 | Steps: 95 | Epsilon: 0.177 | Result: WIN | Decay: 0.994223 | Time: 0.0002s
Episode 118 | Reward: 67.69999999999987 | Steps: 189 | Epsilon: 0.176 | Result: WIN | Decay: 0.994223 | Time: 0.0005s
🔥 New best solution! Steps: 34. Decay decreased to 0.993929
Episode 119 | Reward: 96.7 | Steps: 34 | Epsilon: 0.175 | Result: WIN | Decay: 0.993929 | Time: 0.0001s
Episode 120 | Reward: 59.29999999999988 | Steps: 228 | Epsilon: 0.174 | Result: WIN | Decay: 0.993929 | Time: 0.0006s
Episode 121 | Reward: 65.0999999999999 | Steps: 215 | Epsilon: 0.173 | Result: WIN | Decay: 0.993929 | Time: 0.0005s
Episode 122 | Reward: 91.30000000000001 | Steps: 52 | Epsilon: 0.172 | Result: WIN | Decay: 0.993929 | Time: 0.0002s
Episode 123 | Reward: 90.30000000000001 | Steps: 62 | Epsilon: 0.171 | Result: WIN | Decay: 0.993929 | Time: 0.0003s
Episode 124 | Reward: 77.09999999999995 | Steps: 149 | Epsilon: 0.170 | Result: WIN | Decay: 0.993929 | Time: 0.0004s
Episode 125 | Reward: 64.89999999999985 | Steps: 235 | Epsilon: 0.169 | Result: WIN | Decay: 0.993929 | Time: 0.0006s
Episode 126 | Reward: 88.90000000000002 | Steps: 85 | Epsilon: 0.168 | Result: WIN | Decay: 0.993929 | Time: 0.0002s
Episode 127 | Reward: 68.29999999999988 | Steps: 201 | Epsilon: 0.167 | Result: WIN | Decay: 0.993929 | Time: 0.0005s
Episode 128 | Reward: 89.9 | Steps: 57 | Epsilon: 0.166 | Result: WIN | Decay: 0.993929 | Time: 0.0001s
Episode 129 | Reward: 87.10000000000002 | Steps: 76 | Epsilon: 0.165 | Result: WIN | Decay: 0.993929 | Time: 0.0002s
Episode 130 | Reward: 65.89999999999988 | Steps: 198 | Epsilon: 0.164 | Result: WIN | Decay: 0.993929 | Time: 0.0005s
Episode 131 | Reward: 88.70000000000002 | Steps: 69 | Epsilon: 0.163 | Result: WIN | Decay: 0.993929 | Time: 0.0002s
Episode 132 | Reward: 69.6999999999999 | Steps: 169 | Epsilon: 0.162 | Result: WIN | Decay: 0.993929 | Time: 0.0005s
Episode 133 | Reward: 91.10000000000001 | Steps: 54 | Epsilon: 0.161 | Result: WIN | Decay: 0.993929 | Time: 0.0003s
Episode 134 | Reward: 74.09999999999997 | Steps: 125 | Epsilon: 0.160 | Result: WIN | Decay: 0.993929 | Time: 0.0004s
Episode 135 | Reward: 89.70000000000002 | Steps: 77 | Epsilon: 0.159 | Result: WIN | Decay: 0.993929 | Time: 0.0002s
Episode 136 | Reward: 73.29999999999993 | Steps: 160 | Epsilon: 0.158 | Result: WIN | Decay: 0.993929 | Time: 0.0004s
Episode 137 | Reward: 93.5 | Steps: 48 | Epsilon: 0.157 | Result: WIN | Decay: 0.993929 | Time: 0.0002s
Episode 138 | Reward: 71.89999999999986 | Steps: 174 | Epsilon: 0.156 | Result: WIN | Decay: 0.993929 | Time: 0.0005s
Episode 139 | Reward: 88.30000000000003 | Steps: 91 | Epsilon: 0.155 | Result: WIN | Decay: 0.993929 | Time: 0.0002s
Episode 140 | Reward: 90.9 | Steps: 65 | Epsilon: 0.154 | Result: WIN | Decay: 0.993929 | Time: 0.0002s
Episode 141 | Reward: 75.09999999999997 | Steps: 169 | Epsilon: 0.153 | Result: WIN | Decay: 0.993929 | Time: 0.0005s
Episode 142 | Reward: 92.30000000000001 | Steps: 51 | Epsilon: 0.152 | Result: WIN | Decay: 0.993929 | Time: 0.0001s
Episode 143 | Reward: 92.10000000000001 | Steps: 53 | Epsilon: 0.151 | Result: WIN | Decay: 0.993929 | Time: 0.0001s
Episode 144 | Reward: 70.69999999999995 | Steps: 159 | Epsilon: 0.151 | Result: WIN | Decay: 0.993929 | Time: 0.0004s
Episode 145 | Reward: 89.7 | Steps: 59 | Epsilon: 0.150 | Result: WIN | Decay: 0.993929 | Time: 0.0001s
Episode 146 | Reward: 89.9 | Steps: 66 | Epsilon: 0.149 | Result: WIN | Decay: 0.993929 | Time: 0.0002s
Episode 147 | Reward: 62.699999999999875 | Steps: 212 | Epsilon: 0.148 | Result: WIN | Decay: 0.993929 | Time: 0.0005s
Episode 148 | Reward: 88.70000000000002 | Steps: 60 | Epsilon: 0.147 | Result: WIN | Decay: 0.993929 | Time: 0.0001s
Episode 149 | Reward: 71.29999999999994 | Steps: 162 | Epsilon: 0.146 | Result: WIN | Decay: 0.993929 | Time: 0.0004s
Episode 150 | Reward: 91.3 | Steps: 43 | Epsilon: 0.145 | Result: WIN | Decay: 0.993929 | Time: 0.0001s
Episode 151 | Reward: 63.69999999999986 | Steps: 211 | Epsilon: 0.144 | Result: WIN | Decay: 0.993929 | Time: 0.0005s
Episode 152 | Reward: 96.7 | Steps: 34 | Epsilon: 0.143 | Result: WIN | Decay: 0.993929 | Time: 0.0001s
Episode 153 | Reward: 90.9 | Steps: 74 | Epsilon: 0.143 | Result: WIN | Decay: 0.993929 | Time: 0.0002s
Episode 154 | Reward: 74.49999999999994 | Steps: 166 | Epsilon: 0.142 | Result: WIN | Decay: 0.993929 | Time: 0.0005s
Episode 155 | Reward: 92.5 | Steps: 40 | Epsilon: 0.141 | Result: WIN | Decay: 0.993929 | Time: 0.0001s
Episode 156 | Reward: 88.70000000000002 | Steps: 69 | Epsilon: 0.140 | Result: WIN | Decay: 0.993929 | Time: 0.0002s
Episode 157 | Reward: 91.9 | Steps: 55 | Epsilon: 0.139 | Result: WIN | Decay: 0.993929 | Time: 0.0001s
Episode 158 | Reward: 72.8999999999999 | Steps: 164 | Epsilon: 0.138 | Result: WIN | Decay: 0.993929 | Time: 0.0004s
Episode 159 | Reward: 87.50000000000001 | Steps: 72 | Epsilon: 0.137 | Result: WIN | Decay: 0.993929 | Time: 0.0002s
Episode 160 | Reward: 86.10000000000001 | Steps: 59 | Epsilon: 0.137 | Result: WIN | Decay: 0.993929 | Time: 0.0001s
Episode 161 | Reward: 79.69999999999999 | Steps: 141 | Epsilon: 0.136 | Result: WIN | Decay: 0.993929 | Time: 0.0004s
Episode 162 | Reward: 92.10000000000001 | Steps: 44 | Epsilon: 0.135 | Result: WIN | Decay: 0.993929 | Time: 0.0001s
🔥 New best solution! Steps: 33. Decay decreased to 0.993634
Episode 163 | Reward: 95.9 | Steps: 33 | Epsilon: 0.134 | Result: WIN | Decay: 0.993634 | Time: 0.0001s
Episode 164 | Reward: 80.29999999999998 | Steps: 135 | Epsilon: 0.133 | Result: WIN | Decay: 0.993634 | Time: 0.0005s
Episode 165 | Reward: 87.30000000000001 | Steps: 83 | Epsilon: 0.132 | Result: WIN | Decay: 0.993634 | Time: 0.0002s
Episode 166 | Reward: 91.9 | Steps: 55 | Epsilon: 0.132 | Result: WIN | Decay: 0.993634 | Time: 0.0001s
Episode 167 | Reward: 76.89999999999995 | Steps: 151 | Epsilon: 0.131 | Result: WIN | Decay: 0.993634 | Time: 0.0004s
Episode 168 | Reward: 93.5 | Steps: 39 | Epsilon: 0.130 | Result: WIN | Decay: 0.993634 | Time: 0.0001s
Episode 169 | Reward: 77.29999999999997 | Steps: 147 | Epsilon: 0.129 | Result: WIN | Decay: 0.993634 | Time: 0.0004s
Episode 170 | Reward: 91.70000000000002 | Steps: 57 | Epsilon: 0.128 | Result: WIN | Decay: 0.993634 | Time: 0.0002s
Episode 171 | Reward: 89.9 | Steps: 66 | Epsilon: 0.127 | Result: WIN | Decay: 0.993634 | Time: 0.0002s
Episode 172 | Reward: 79.09999999999998 | Steps: 165 | Epsilon: 0.127 | Result: WIN | Decay: 0.993634 | Time: 0.0004s
Episode 173 | Reward: 96.7 | Steps: 34 | Epsilon: 0.126 | Result: WIN | Decay: 0.993634 | Time: 0.0001s
Episode 174 | Reward: 81.9 | Steps: 128 | Epsilon: 0.125 | Result: WIN | Decay: 0.993634 | Time: 0.0003s
Episode 175 | Reward: 93.7 | Steps: 46 | Epsilon: 0.124 | Result: WIN | Decay: 0.993634 | Time: 0.0002s
Episode 176 | Reward: 91.10000000000001 | Steps: 54 | Epsilon: 0.123 | Result: WIN | Decay: 0.993634 | Time: 0.0002s
Episode 177 | Reward: 90.9 | Steps: 47 | Epsilon: 0.123 | Result: WIN | Decay: 0.993634 | Time: 0.0001s
Episode 178 | Reward: 92.30000000000001 | Steps: 60 | Epsilon: 0.122 | Result: WIN | Decay: 0.993634 | Time: 0.0002s
Episode 179 | Reward: 86.70000000000002 | Steps: 71 | Epsilon: 0.121 | Result: WIN | Decay: 0.993634 | Time: 0.0002s
Episode 180 | Reward: 77.29999999999993 | Steps: 165 | Epsilon: 0.120 | Result: WIN | Decay: 0.993634 | Time: 0.0004s
Episode 181 | Reward: 84.70000000000002 | Steps: 109 | Epsilon: 0.120 | Result: WIN | Decay: 0.993634 | Time: 0.0003s
Episode 182 | Reward: 95.1 | Steps: 41 | Epsilon: 0.119 | Result: WIN | Decay: 0.993634 | Time: 0.0001s
Episode 183 | Reward: 93.10000000000001 | Steps: 43 | Epsilon: 0.118 | Result: WIN | Decay: 0.993634 | Time: 0.0001s
Episode 184 | Reward: 74.69999999999993 | Steps: 164 | Epsilon: 0.117 | Result: WIN | Decay: 0.993634 | Time: 0.0004s
Episode 185 | Reward: 95.9 | Steps: 42 | Epsilon: 0.117 | Result: WIN | Decay: 0.993634 | Time: 0.0001s
Episode 186 | Reward: 92.30000000000001 | Steps: 60 | Epsilon: 0.116 | Result: WIN | Decay: 0.993634 | Time: 0.0002s
Episode 187 | Reward: 79.89999999999999 | Steps: 130 | Epsilon: 0.115 | Result: WIN | Decay: 0.993634 | Time: 0.0003s
Episode 188 | Reward: 94.5 | Steps: 47 | Epsilon: 0.114 | Result: WIN | Decay: 0.993634 | Time: 0.0001s
Episode 189 | Reward: 94.5 | Steps: 38 | Epsilon: 0.114 | Result: WIN | Decay: 0.993634 | Time: 0.0001s
Episode 190 | Reward: 74.69999999999995 | Steps: 164 | Epsilon: 0.113 | Result: WIN | Decay: 0.993634 | Time: 0.0004s
Episode 191 | Reward: 93.7 | Steps: 37 | Epsilon: 0.112 | Result: WIN | Decay: 0.993634 | Time: 0.0001s
Episode 192 | Reward: 85.50000000000001 | Steps: 83 | Epsilon: 0.111 | Result: WIN | Decay: 0.993634 | Time: 0.0002s
🔥 New best solution! Steps: 32. Decay decreased to 0.993340
Episode 193 | Reward: 96.9 | Steps: 32 | Epsilon: 0.111 | Result: WIN | Decay: 0.993340 | Time: 0.0001s
Episode 194 | Reward: 95.7 | Steps: 35 | Epsilon: 0.110 | Result: WIN | Decay: 0.993340 | Time: 0.0001s
Episode 195 | Reward: 73.29999999999991 | Steps: 160 | Epsilon: 0.109 | Result: WIN | Decay: 0.993340 | Time: 0.0004s
