Episode 186 | Reward: 85.30 | Steps: 48 | Epsilon: 0.57 | Result: WIN | Time: 0.0002s
Episode 187 | Reward: 85.40 | Steps: 37 | Epsilon: 0.57 | Result: WIN | Time: 0.0001s
Episode 188 | Reward: -58.10 | Steps: 121 | Epsilon: 0.57 | Result: LOSE | Time: 0.0004s
Episode 189 | Reward: 62.60 | Steps: 85 | Epsilon: 0.57 | Result: WIN | Time: 0.0002s
Episode 190 | Reward: 64.90 | Steps: 72 | Epsilon: 0.57 | Result: WIN | Time: 0.0002s
Episode 191 | Reward: 82.80 | Steps: 43 | Epsilon: 0.56 | Result: WIN | Time: 0.0001s
Episode 192 | Reward: 69.40 | Steps: 77 | Epsilon: 0.56 | Result: WIN | Time: 0.0002s
Episode 193 | Reward: 60.20 | Steps: 69 | Epsilon: 0.56 | Result: WIN | Time: 0.0002s
Episode 194 | Reward: 73.90 | Steps: 62 | Epsilon: 0.56 | Result: WIN | Time: 0.0002s
Episode 195 | Reward: 86.80 | Steps: 43 | Epsilon: 0.56 | Result: WIN | Time: 0.0002s
Episode 196 | Reward: 78.60 | Steps: 45 | Epsilon: 0.55 | Result: WIN | Time: 0.0001s
Episode 197 | Reward: 82.60 | Steps: 45 | Epsilon: 0.55 | Result: WIN | Time: 0.0001s
Episode 198 | Reward: 78.70 | Steps: 54 | Epsilon: 0.55 | Result: WIN | Time: 0.0002s
Episode 199 | Reward: 76.20 | Steps: 49 | Epsilon: 0.55 | Result: WIN | Time: 0.0001s
Episode 200 | Reward: 85.00 | Steps: 41 | Epsilon: 0.55 | Result: WIN | Time: 0.0001s
Episode 201 | Reward: 67.40 | Steps: 77 | Epsilon: 0.55 | Result: WIN | Time: 0.0002s
Episode 202 | Reward: 57.90 | Steps: 82 | Epsilon: 0.55 | Result: WIN | Time: 0.0002s
Episode 203 | Reward: 72.80 | Steps: 63 | Epsilon: 0.54 | Result: WIN | Time: 0.0002s
Episode 204 | Reward: 87.00 | Steps: 41 | Epsilon: 0.54 | Result: WIN | Time: 0.0001s
Episode 205 | Reward: 68.70 | Steps: 94 | Epsilon: 0.54 | Result: WIN | Time: 0.0003s
Episode 206 | Reward: 58.90 | Steps: 92 | Epsilon: 0.54 | Result: WIN | Time: 0.0003s
Episode 207 | Reward: 85.80 | Steps: 53 | Epsilon: 0.54 | Result: WIN | Time: 0.0002s
Episode 208 | Reward: 86.90 | Steps: 52 | Epsilon: 0.54 | Result: WIN | Time: 0.0001s
Episode 209 | Reward: 85.70 | Steps: 44 | Epsilon: 0.53 | Result: WIN | Time: 0.0001s
Episode 210 | Reward: 87.40 | Steps: 37 | Epsilon: 0.53 | Result: WIN | Time: 0.0001s
Episode 211 | Reward: 87.60 | Steps: 35 | Epsilon: 0.53 | Result: WIN | Time: 0.0001s
Episode 212 | Reward: 85.90 | Steps: 42 | Epsilon: 0.53 | Result: WIN | Time: 0.0001s
Episode 213 | Reward: 83.70 | Steps: 44 | Epsilon: 0.53 | Result: WIN | Time: 0.0001s
Episode 214 | Reward: 81.80 | Steps: 53 | Epsilon: 0.53 | Result: WIN | Time: 0.0001s
Episode 215 | Reward: 82.20 | Steps: 49 | Epsilon: 0.52 | Result: WIN | Time: 0.0001s
Episode 216 | Reward: 83.10 | Steps: 50 | Epsilon: 0.52 | Result: WIN | Time: 0.0001s
Episode 217 | Reward: 85.90 | Steps: 42 | Epsilon: 0.52 | Result: WIN | Time: 0.0001s
Episode 218 | Reward: 87.00 | Steps: 41 | Epsilon: 0.52 | Result: WIN | Time: 0.0001s
Episode 219 | Reward: 85.70 | Steps: 44 | Epsilon: 0.52 | Result: WIN | Time: 0.0001s
Episode 220 | Reward: 89.60 | Steps: 35 | Epsilon: 0.52 | Result: WIN | Time: 0.0001s
Episode 221 | Reward: 79.40 | Steps: 57 | Epsilon: 0.51 | Result: WIN | Time: 0.0002s
Episode 222 | Reward: 87.80 | Steps: 33 | Epsilon: 0.51 | Result: WIN | Time: 0.0001s
Episode 223 | Reward: 87.50 | Steps: 46 | Epsilon: 0.51 | Result: WIN | Time: 0.0001s
Episode 224 | Reward: 85.50 | Steps: 46 | Epsilon: 0.51 | Result: WIN | Time: 0.0001s
Episode 225 | Reward: 76.40 | Steps: 47 | Epsilon: 0.51 | Result: WIN | Time: 0.0001s
Episode 226 | Reward: 90.90 | Steps: 32 | Epsilon: 0.51 | Result: WIN | Time: 0.0001s
Episode 227 | Reward: 95.10 | Steps: 30 | Epsilon: 0.51 | Result: WIN | Time: 0.0001s
Episode 228 | Reward: 89.80 | Steps: 33 | Epsilon: 0.50 | Result: WIN | Time: 0.0001s
Episode 229 | Reward: 82.40 | Steps: 47 | Epsilon: 0.50 | Result: WIN | Time: 0.0001s
Episode 230 | Reward: 75.70 | Steps: 64 | Epsilon: 0.50 | Result: WIN | Time: 0.0002s
Episode 231 | Reward: 81.30 | Steps: 48 | Epsilon: 0.50 | Result: WIN | Time: 0.0001s
Episode 232 | Reward: 74.80 | Steps: 63 | Epsilon: 0.50 | Result: WIN | Time: 0.0002s
Episode 233 | Reward: 89.00 | Steps: 41 | Epsilon: 0.50 | Result: WIN | Time: 0.0001s
Episode 234 | Reward: 90.30 | Steps: 38 | Epsilon: 0.50 | Result: WIN | Time: 0.0001s
Episode 235 | Reward: 86.80 | Steps: 43 | Epsilon: 0.49 | Result: WIN | Time: 0.0001s
Episode 236 | Reward: 81.20 | Steps: 59 | Epsilon: 0.49 | Result: WIN | Time: 0.0002s
Episode 237 | Reward: 73.40 | Steps: 57 | Epsilon: 0.49 | Result: WIN | Time: 0.0002s
Episode 238 | Reward: 88.70 | Steps: 34 | Epsilon: 0.49 | Result: WIN | Time: 0.0001s
Episode 239 | Reward: 76.70 | Steps: 54 | Epsilon: 0.49 | Result: WIN | Time: 0.0002s
Episode 240 | Reward: 79.00 | Steps: 61 | Epsilon: 0.49 | Result: WIN | Time: 0.0002s
Episode 241 | Reward: 90.70 | Steps: 34 | Epsilon: 0.48 | Result: WIN | Time: 0.0001s
Episode 242 | Reward: 77.10 | Steps: 50 | Epsilon: 0.48 | Result: WIN | Time: 0.0001s
Episode 243 | Reward: 86.10 | Steps: 40 | Epsilon: 0.48 | Result: WIN | Time: 0.0001s
Episode 244 | Reward: 91.80 | Steps: 33 | Epsilon: 0.48 | Result: WIN | Time: 0.0001s
Episode 245 | Reward: 84.90 | Steps: 52 | Epsilon: 0.48 | Result: WIN | Time: 0.0001s
Episode 246 | Reward: 88.70 | Steps: 54 | Epsilon: 0.48 | Result: WIN | Time: 0.0002s
Episode 247 | Reward: 89.00 | Steps: 41 | Epsilon: 0.48 | Result: WIN | Time: 0.0001s
Episode 248 | Reward: 73.80 | Steps: 73 | Epsilon: 0.47 | Result: WIN | Time: 0.0002s
Episode 249 | Reward: 89.90 | Steps: 42 | Epsilon: 0.47 | Result: WIN | Time: 0.0001s
