Episode 203 | Reward: 92.50 | Steps: 28 | Epsilon: 0.11 | Result: WIN | Time: 0.00009s
Episode 204 | Reward: 94.50 | Steps: 23 | Epsilon: 0.11 | Result: WIN | Time: 0.00007s
Episode 205 | Reward: 97.80 | Steps: 22 | Epsilon: 0.11 | Result: WIN | Time: 0.00007s
Episode 206 | Reward: 96.90 | Steps: 21 | Epsilon: 0.11 | Result: WIN | Time: 0.00007s
Episode 207 | Reward: 96.50 | Steps: 23 | Epsilon: 0.11 | Result: WIN | Time: 0.00007s
Episode 208 | Reward: 96.90 | Steps: 21 | Epsilon: 0.11 | Result: WIN | Time: 0.00007s
Episode 209 | Reward: 98.10 | Steps: 20 | Epsilon: 0.11 | Result: WIN | Time: 0.00006s
Episode 210 | Reward: 94.60 | Steps: 28 | Epsilon: 0.10 | Result: WIN | Time: 0.00009s
Episode 211 | Reward: 92.90 | Steps: 26 | Epsilon: 0.10 | Result: WIN | Time: 0.00008s
Episode 212 | Reward: 98.10 | Steps: 20 | Epsilon: 0.10 | Result: WIN | Time: 0.00006s
Episode 213 | Reward: 95.70 | Steps: 22 | Epsilon: 0.10 | Result: WIN | Time: 0.00007s
Episode 214 | Reward: 96.50 | Steps: 23 | Epsilon: 0.10 | Result: WIN | Time: 0.00007s
Episode 215 | Reward: 98.10 | Steps: 20 | Epsilon: 0.10 | Result: WIN | Time: 0.00006s
Episode 216 | Reward: 98.10 | Steps: 20 | Epsilon: 0.10 | Result: WIN | Time: 0.00006s
Episode 217 | Reward: 96.20 | Steps: 25 | Epsilon: 0.10 | Result: WIN | Time: 0.00008s
Episode 218 | Reward: 96.10 | Steps: 25 | Epsilon: 0.10 | Result: WIN | Time: 0.00008s
Episode 219 | Reward: 98.10 | Steps: 20 | Epsilon: 0.10 | Result: WIN | Time: 0.00006s
Episode 220 | Reward: 96.90 | Steps: 21 | Epsilon: 0.10 | Result: WIN | Time: 0.00007s
Episode 221 | Reward: 96.50 | Steps: 23 | Epsilon: 0.10 | Result: WIN | Time: 0.00007s
Episode 222 | Reward: 97.70 | Steps: 22 | Epsilon: 0.10 | Result: WIN | Time: 0.00007s
Episode 223 | Reward: 98.10 | Steps: 20 | Epsilon: 0.10 | Result: WIN | Time: 0.00007s
Episode 224 | Reward: 97.70 | Steps: 22 | Epsilon: 0.10 | Result: WIN | Time: 0.00007s
Episode 225 | Reward: 98.10 | Steps: 20 | Epsilon: 0.10 | Result: WIN | Time: 0.00006s
Episode 226 | Reward: 95.30 | Steps: 24 | Epsilon: 0.10 | Result: WIN | Time: 0.00008s
Episode 227 | Reward: 96.60 | Steps: 23 | Epsilon: 0.10 | Result: WIN | Time: 0.00007s
Episode 228 | Reward: 97.70 | Steps: 22 | Epsilon: 0.10 | Result: WIN | Time: 0.00007s
Episode 229 | Reward: 98.10 | Steps: 20 | Epsilon: 0.10 | Result: WIN | Time: 0.00006s
Episode 230 | Reward: 98.10 | Steps: 20 | Epsilon: 0.09 | Result: WIN | Time: 0.00006s
Episode 231 | Reward: 95.30 | Steps: 24 | Epsilon: 0.09 | Result: WIN | Time: 0.00008s
Episode 232 | Reward: 97.50 | Steps: 24 | Epsilon: 0.09 | Result: WIN | Time: 0.00008s
Episode 233 | Reward: 96.90 | Steps: 21 | Epsilon: 0.09 | Result: WIN | Time: 0.00007s
Episode 234 | Reward: 97.70 | Steps: 22 | Epsilon: 0.09 | Result: WIN | Time: 0.00007s
Episode 235 | Reward: 96.60 | Steps: 23 | Epsilon: 0.09 | Result: WIN | Time: 0.00007s
Episode 236 | Reward: 98.10 | Steps: 20 | Epsilon: 0.09 | Result: WIN | Time: 0.00006s
Episode 237 | Reward: 94.20 | Steps: 25 | Epsilon: 0.09 | Result: WIN | Time: 0.00008s
Episode 238 | Reward: 98.10 | Steps: 20 | Epsilon: 0.09 | Result: WIN | Time: 0.00006s
