Episode 108 | Reward: -1421.10 | Steps: 2601 | Epsilon: 0.90 | Result: LOSE | Time: 0.0137s
Episode 109 | Reward: -1397.10 | Steps: 2601 | Epsilon: 0.90 | Result: LOSE | Time: 0.0137s
Episode 110 | Reward: -1394.10 | Steps: 2601 | Epsilon: 0.90 | Result: LOSE | Time: 0.0135s
Episode 111 | Reward: -1379.10 | Steps: 2601 | Epsilon: 0.89 | Result: LOSE | Time: 0.0140s
Episode 112 | Reward: -1384.10 | Steps: 2601 | Epsilon: 0.89 | Result: LOSE | Time: 0.0145s
Episode 113 | Reward: -1394.10 | Steps: 2601 | Epsilon: 0.89 | Result: LOSE | Time: 0.0135s
Episode 114 | Reward: -1403.10 | Steps: 2601 | Epsilon: 0.89 | Result: LOSE | Time: 0.0139s
Episode 115 | Reward: -1385.10 | Steps: 2601 | Epsilon: 0.89 | Result: LOSE | Time: 0.0139s
Episode 116 | Reward: -1320.10 | Steps: 2601 | Epsilon: 0.89 | Result: LOSE | Time: 0.0138s
Episode 117 | Reward: -1366.10 | Steps: 2601 | Epsilon: 0.89 | Result: LOSE | Time: 0.0140s
Episode 118 | Reward: -1420.10 | Steps: 2601 | Epsilon: 0.89 | Result: LOSE | Time: 0.0143s
Episode 119 | Reward: -1282.10 | Steps: 2601 | Epsilon: 0.89 | Result: LOSE | Time: 0.0140s
Episode 120 | Reward: -1424.10 | Steps: 2601 | Epsilon: 0.89 | Result: LOSE | Time: 0.0137s
Episode 121 | Reward: -1404.10 | Steps: 2601 | Epsilon: 0.89 | Result: LOSE | Time: 0.0138s
Episode 122 | Reward: -1389.10 | Steps: 2601 | Epsilon: 0.89 | Result: LOSE | Time: 0.0139s
Episode 123 | Reward: -1422.10 | Steps: 2601 | Epsilon: 0.88 | Result: LOSE | Time: 0.0140s
Episode 124 | Reward: -1389.10 | Steps: 2601 | Epsilon: 0.88 | Result: LOSE | Time: 0.0140s
Episode 125 | Reward: -1346.10 | Steps: 2601 | Epsilon: 0.88 | Result: LOSE | Time: 0.0139s
Episode 126 | Reward: -1341.10 | Steps: 2601 | Epsilon: 0.88 | Result: LOSE | Time: 0.0138s
Episode 127 | Reward: -1405.10 | Steps: 2601 | Epsilon: 0.88 | Result: LOSE | Time: 0.0136s
Episode 128 | Reward: -1335.10 | Steps: 2601 | Epsilon: 0.88 | Result: LOSE | Time: 0.0139s
Episode 129 | Reward: -1360.10 | Steps: 2601 | Epsilon: 0.88 | Result: LOSE | Time: 0.0138s
Episode 130 | Reward: -1353.10 | Steps: 2601 | Epsilon: 0.88 | Result: LOSE | Time: 0.0138s
Episode 131 | Reward: -1431.10 | Steps: 2601 | Epsilon: 0.88 | Result: LOSE | Time: 0.0137s
Episode 132 | Reward: -1373.10 | Steps: 2601 | Epsilon: 0.88 | Result: LOSE | Time: 0.0138s
Episode 133 | Reward: -1317.10 | Steps: 2601 | Epsilon: 0.88 | Result: LOSE | Time: 0.0135s
Episode 134 | Reward: -1305.10 | Steps: 2601 | Epsilon: 0.87 | Result: LOSE | Time: 0.0138s
Episode 135 | Reward: -1315.10 | Steps: 2601 | Epsilon: 0.87 | Result: LOSE | Time: 0.0137s
Episode 136 | Reward: -1319.10 | Steps: 2601 | Epsilon: 0.87 | Result: LOSE | Time: 0.0143s
Episode 137 | Reward: -1331.10 | Steps: 2601 | Epsilon: 0.87 | Result: LOSE | Time: 0.0137s
Episode 138 | Reward: -1380.10 | Steps: 2601 | Epsilon: 0.87 | Result: LOSE | Time: 0.0139s
Episode 139 | Reward: -1325.10 | Steps: 2601 | Epsilon: 0.87 | Result: LOSE | Time: 0.0138s
Episode 140 | Reward: -1290.10 | Steps: 2601 | Epsilon: 0.87 | Result: LOSE | Time: 0.0138s
Episode 141 | Reward: -1297.10 | Steps: 2601 | Epsilon: 0.87 | Result: LOSE | Time: 0.0139s
Episode 142 | Reward: -1340.10 | Steps: 2601 | Epsilon: 0.87 | Result: LOSE | Time: 0.0138s
Episode 143 | Reward: -1403.10 | Steps: 2601 | Epsilon: 0.87 | Result: LOSE | Time: 0.0137s
Episode 144 | Reward: -1350.10 | Steps: 2601 | Epsilon: 0.87 | Result: LOSE | Time: 0.0137s
Episode 145 | Reward: -1380.10 | Steps: 2601 | Epsilon: 0.86 | Result: LOSE | Time: 0.0137s
Episode 146 | Reward: -1305.10 | Steps: 2601 | Epsilon: 0.86 | Result: LOSE | Time: 0.0136s
Episode 147 | Reward: -1361.10 | Steps: 2601 | Epsilon: 0.86 | Result: LOSE | Time: 0.0139s
Episode 148 | Reward: -1323.10 | Steps: 2601 | Epsilon: 0.86 | Result: LOSE | Time: 0.0139s
